"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.61,0.14,34.06,2001-01-01
"2",2,0.62,0.14,33.99,2001-01-02
"3",3,0.63,0.14,33.88,2001-01-03
"4",4,0.63,0.14,34.19,2001-01-04
"5",5,0.64,0.14,34.73,2001-01-05
"6",6,0.64,0.14,35.24,2001-01-06
"7",7,0.64,0.14,35.11,2001-01-07
"8",8,0.65,0.14,34.59,2001-01-08
"9",9,0.65,0.14,34.3,2001-01-09
"10",10,0.65,0.15,34.04,2001-01-10
"11",11,0.66,0.16,34.02,2001-01-11
"12",12,0.66,0.16,34.05,2001-01-12
"13",13,0.66,0.16,34.01,2001-01-13
"14",14,0.66,0.16,33.72,2001-01-14
"15",15,0.67,0.16,33.04,2001-01-15
"16",16,0.67,0.17,32.93,2001-01-16
"17",17,0.67,0.18,32.95,2001-01-17
"18",18,0.68,0.19,32.67,2001-01-18
"19",19,0.68,0.18,32.76,2001-01-19
"20",20,0.68,0.18,33.08,2001-01-20
"21",21,0.69,0.17,33.54,2001-01-21
"22",22,0.69,0.17,33.78,2001-01-22
"23",23,0.7,0.16,34.11,2001-01-23
"24",24,0.7,0.15,34.25,2001-01-24
"25",25,0.71,0.15,34.36,2001-01-25
"26",26,0.71,0.16,34.33,2001-01-26
"27",27,0.72,0.17,33.98,2001-01-27
"28",28,0.72,0.17,33.34,2001-01-28
"29",29,0.73,0.17,33.49,2001-01-29
"30",30,0.73,0.16,33.79,2001-01-30
"31",31,0.73,0.16,33.62,2001-01-31
"32",32,0.74,0.16,33.27,2001-02-01
"33",33,0.74,0.16,33.01,2001-02-02
"34",34,0.74,0.15,32.6,2001-02-03
"35",35,0.74,0.15,32.47,2001-02-04
"36",36,0.74,0.15,32.61,2001-02-05
"37",37,0.74,0.16,32.97,2001-02-06
"38",38,0.74,0.16,33.27,2001-02-07
"39",39,0.74,0.15,33.63,2001-02-08
"40",40,0.74,0.15,33.86,2001-02-09
"41",41,0.74,0.14,34.02,2001-02-10
"42",42,0.74,0.15,33.74,2001-02-11
"43",43,0.74,0.15,33.54,2001-02-12
"44",44,0.74,0.15,33.59,2001-02-13
"45",45,0.74,0.16,33.34,2001-02-14
"46",46,0.73,0.16,33.66,2001-02-15
"47",47,0.73,0.16,33.72,2001-02-16
"48",48,0.73,0.16,33.8,2001-02-17
"49",49,0.73,0.16,33.86,2001-02-18
"50",50,0.73,0.16,33.8,2001-02-19
"51",51,0.73,0.15,33.82,2001-02-20
"52",52,0.72,0.15,33.93,2001-02-21
"53",53,0.72,0.15,33.96,2001-02-22
"54",54,0.72,0.15,33.43,2001-02-23
"55",55,0.72,0.15,33.11,2001-02-24
"56",56,0.72,0.17,33.03,2001-02-25
"57",57,0.72,0.17,32.98,2001-02-26
"58",58,0.72,0.17,32.94,2001-02-27
"59",59,0.71,0.17,32.93,2001-02-28
"60",60,0.79,0.18,32.56,2001-03-01
"61",61,0.71,0.17,32.69,2001-03-02
"62",62,0.71,0.17,32.71,2001-03-03
"63",63,0.71,0.16,33.04,2001-03-04
"64",64,0.7,0.16,33.07,2001-03-05
"65",65,0.7,0.16,33.03,2001-03-06
"66",66,0.7,0.15,33.25,2001-03-07
"67",67,0.69,0.15,33.25,2001-03-08
"68",68,0.69,0.15,32.77,2001-03-09
"69",69,0.69,0.14,32.76,2001-03-10
"70",70,0.68,0.14,32.82,2001-03-11
"71",71,0.68,0.14,33.16,2001-03-12
"72",72,0.67,0.14,33.37,2001-03-13
"73",73,0.67,0.14,33.66,2001-03-14
"74",74,0.66,0.13,33.91,2001-03-15
"75",75,0.66,0.13,33.63,2001-03-16
"76",76,0.65,0.13,33.22,2001-03-17
