"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.17,0.09,34.86,2001-01-01
"2",2,0.16,0.09,35.28,2001-01-02
"3",3,0.15,0.08,35.48,2001-01-03
"4",4,0.15,0.08,35.64,2001-01-04
"5",5,0.15,0.08,36.09,2001-01-05
"6",6,0.14,0.08,36.34,2001-01-06
"7",7,0.14,0.08,35.63,2001-01-07
"8",8,0.14,0.1,34.84,2001-01-08
"9",9,0.14,0.1,34.7,2001-01-09
"10",10,0.14,0.1,34.94,2001-01-10
"11",11,0.14,0.09,35.31,2001-01-11
"12",12,0.14,0.09,35.29,2001-01-12
"13",13,0.14,0.09,35.29,2001-01-13
"14",14,0.14,0.09,34.59,2001-01-14
"15",15,0.14,0.09,34.74,2001-01-15
"16",16,0.14,0.09,34.86,2001-01-16
"17",17,0.14,0.09,34.99,2001-01-17
"18",18,0.14,0.09,35,2001-01-18
"19",19,0.15,0.1,34.98,2001-01-19
"20",20,0.15,0.1,35.36,2001-01-20
"21",21,0.15,0.1,35.67,2001-01-21
"22",22,0.15,0.09,36.28,2001-01-22
"23",23,0.16,0.09,36.49,2001-01-23
"24",24,0.16,0.09,36.79,2001-01-24
"25",25,0.16,0.09,36.47,2001-01-25
"26",26,0.16,0.09,36.41,2001-01-26
"27",27,0.17,0.09,36.29,2001-01-27
"28",28,0.17,0.09,36.17,2001-01-28
"29",29,0.17,0.09,36.28,2001-01-29
"30",30,0.17,0.09,35.79,2001-01-30
"31",31,0.18,0.09,35.58,2001-01-31
"32",32,0.18,0.09,35.12,2001-02-01
"33",33,0.18,0.09,34.25,2001-02-02
"34",34,0.18,0.09,33.87,2001-02-03
"35",35,0.18,0.09,34.09,2001-02-04
"36",36,0.19,0.09,34.34,2001-02-05
"37",37,0.19,0.09,34.56,2001-02-06
"38",38,0.19,0.09,34.84,2001-02-07
"39",39,0.19,0.09,35.15,2001-02-08
"40",40,0.19,0.09,35.19,2001-02-09
"41",41,0.2,0.09,35.01,2001-02-10
"42",42,0.2,0.09,35.03,2001-02-11
"43",43,0.2,0.09,35.09,2001-02-12
"44",44,0.2,0.09,35.04,2001-02-13
"45",45,0.2,0.09,35.11,2001-02-14
