"","doy","forc_npp","forc_sw","forc_st","avg_date"
"1",1,0.2,0.17,29.11,2001-01-01
"2",2,0.2,0.17,29.11,2001-01-02
"3",3,0.2,0.17,29.11,2001-01-03
"4",4,0.21,0.17,29.2,2001-01-04
"5",5,0.21,0.17,29.63,2001-01-05
"6",6,0.22,0.17,30.06,2001-01-06
"7",7,0.22,0.16,30.13,2001-01-07
"8",8,0.23,0.16,29.88,2001-01-08
"9",9,0.24,0.16,29.53,2001-01-09
"10",10,0.24,0.16,29.71,2001-01-10
"11",11,0.25,0.17,30.14,2001-01-11
"12",12,0.26,0.16,30.76,2001-01-12
"13",13,0.26,0.17,30.61,2001-01-13
"14",14,0.27,0.17,30.29,2001-01-14
"15",15,0.28,0.17,30.33,2001-01-15
"16",16,0.28,0.17,29.85,2001-01-16
"17",17,0.29,0.17,29.61,2001-01-17
"18",18,0.29,0.17,29.48,2001-01-18
"19",19,0.3,0.17,29.84,2001-01-19
"20",20,0.3,0.17,30.12,2001-01-20
"21",21,0.31,0.17,30.06,2001-01-21
"22",22,0.31,0.17,30.19,2001-01-22
"23",23,0.32,0.17,30.69,2001-01-23
"24",24,0.33,0.17,30.24,2001-01-24
"25",25,0.33,0.17,30.18,2001-01-25
"26",26,0.34,0.17,30.53,2001-01-26
"27",27,0.34,0.17,30.47,2001-01-27
"28",28,0.35,0.17,30.32,2001-01-28
"29",29,0.36,0.17,30.37,2001-01-29
"30",30,0.36,0.17,30.43,2001-01-30
"31",31,0.37,0.16,29.96,2001-01-31
"32",32,0.38,0.16,29.81,2001-02-01
"33",33,0.38,0.17,29.09,2001-02-02
"34",34,0.39,0.17,29.18,2001-02-03
"35",35,0.4,0.17,29.3,2001-02-04
"36",36,0.41,0.18,29.48,2001-02-05
"37",37,0.42,0.17,29.62,2001-02-06
"38",38,0.43,0.17,29.64,2001-02-07
"39",39,0.44,0.17,29.96,2001-02-08
"40",40,0.45,0.17,30.02,2001-02-09
"41",41,0.46,0.17,29.87,2001-02-10
"42",42,0.47,0.17,29.86,2001-02-11
"43",43,0.48,0.16,29.71,2001-02-12
"44",44,0.49,0.17,29.36,2001-02-13
"45",45,0.5,0.18,29.14,2001-02-14
"46",46,0.51,0.18,28.9,2001-02-15
"47",47,0.51,0.19,28.46,2001-02-16
"48",48,0.52,0.19,28.28,2001-02-17
